Ref,Val,Package,PosX,PosY,Rot,Side
"C9","0.1uF","C_0402_Small",44.150000,49.275000,90.000000,bottom
"C26","0.1uF","C_0402_Small",27.700000,51.175000,180.000000,bottom
"C27","22uF","C_0805_2012Metric",22.950000,45.200000,0.000000,bottom
"C29","2.2u","C_1206_Small",29.625000,45.075000,180.000000,bottom
"C30","2.2u","C_1206_Small",34.250000,45.075000,0.000000,bottom
"C31","0.1uF/100V","C_0603_Small",29.575000,46.800000,180.000000,bottom
"D3","GREEN","LED_0402_1005Metric",18.275000,44.675000,0.000000,bottom
"D4","GREEN","LED_0402_1005Metric",26.375000,44.675000,0.000000,bottom
"D5","GREEN","LED_0402_1005Metric",46.750000,44.675000,0.000000,bottom
"J8","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",5.200000,2.250000,180.000000,bottom
"J10","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",5.200000,49.750000,0.000000,bottom
"J12","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",15.200000,49.750000,0.000000,bottom
"J16","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",59.800000,49.750000,0.000000,bottom
"J19","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",59.800000,2.250000,180.000000,bottom
"J20","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",49.800000,49.750000,0.000000,bottom
"J21","SFP+","Connector_SFP",18.250000,42.950000,90.000000,bottom
"J22","SFP+","Connector_SFP",32.500000,42.950000,90.000000,bottom
"J23","SFP+","Connector_SFP",46.750000,42.950000,90.000000,bottom
"L7","2.2uH","L_Sunlord_MWSA0503S",23.500000,49.050000,180.000000,bottom
"N1","DNP","Connector_SFP_and_Cage_10731013W008_CZT_SmallCageHole_Custom",32.500000,42.950000,180.000000,bottom
"Q1","FDMC86139P","VSON-8_3.3x3.3mm_P0.65mm_FDMC86139P",34.000000,48.150000,0.000000,bottom
"R3","1K","R_0402_1005Metric",18.950000,45.625000,180.000000,bottom
"R10","DNP","R_0402_1005Metric",35.675000,50.650000,0.000000,bottom
"R11","DNP","R_0402_1005Metric",33.700000,50.650000,180.000000,bottom
"R14","DNP","R_0402_1005Metric",44.650000,46.600000,0.000000,bottom
"R15","100R","R_0402_1005Metric",44.150000,45.175000,90.000000,bottom
"R25","1K","R_0402_1005Metric",45.100000,45.175000,-90.000000,bottom
"R34","10K","R_0402_1005Metric",31.400000,47.425000,90.000000,bottom
"R36","31.6K","R_0402_1005Metric",31.400000,50.700000,90.000000,bottom
"R37","10K","R_0402_1005Metric",29.650000,51.175000,0.000000,bottom
"U1","TCA9544A","TSSOP-20_4.4x6.5mm_P0.65mm",40.175000,47.900000,90.000000,bottom
